,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2624,1998-419,Indianapolis,Hard,56,A,19980817,55,102374,6.0,,Alex Corretja,R,180.0,ESP,24.3,101736,5.0,,Andre Agassi,R,180.0,USA,28.3,2-6 6-2 6-3,3,F,118.0,7.0,5.0,90.0,47.0,34.0,22.0,13.0,5.0,7.0,2.0,5.0,74.0,50.0,33.0,13.0,12.0,3.0,6.0,11.0,2270.0,8.0,2353.0
2679,1998-420,New Haven,Hard,56,A,19980817,55,102344,7.0,,Karol Kucera,R,188.0,SVK,24.4,101964,8.0,,Goran Ivanisevic,L,193.0,CRO,26.9,6-4 5-7 6-2,3,F,105.0,8.0,2.0,81.0,48.0,39.0,20.0,15.0,2.0,4.0,15.0,10.0,91.0,55.0,41.0,15.0,15.0,7.0,11.0,13.0,2185.0,16.0,1870.0
2710,1998-80,Boston,Hard,32,A,19980824,31,102021,4.0,,Michael Chang,R,175.0,USA,26.5,101235,,WC,Paul Haarhuis,R,188.0,NED,32.5,6-3 6-4,3,F,93.0,2.0,1.0,70.0,35.0,25.0,21.0,10.0,6.0,6.0,1.0,3.0,60.0,26.0,17.0,20.0,9.0,3.0,5.0,22.0,1389.0,85.0,556.0
2741,1998-441,Long Island,Hard,32,A,19980824,31,102158,2.0,,Patrick Rafter,R,185.0,AUS,25.6,102456,8.0,,Felix Mantilla,R,180.0,ESP,23.9,7-6(3) 6-2,3,F,78.0,11.0,2.0,61.0,41.0,37.0,10.0,10.0,1.0,1.0,4.0,4.0,68.0,30.0,23.0,19.0,10.0,7.0,9.0,3.0,3405.0,19.0,1632.0
2868,1998-560,US Open,Hard,128,G,19980831,127,102158,3.0,,Patrick Rafter,R,185.0,AUS,25.6,102882,,,Mark Philippoussis,R,196.0,AUS,21.8,6-3 3-6 6-2 6-0,5,F,,7.0,1.0,94.0,68.0,56.0,15.0,16.0,2.0,3.0,5.0,13.0,135.0,70.0,45.0,23.0,16.0,14.0,20.0,3.0,3577.0,22.0,1468.0
2899,1998-620,Bournemouth,Clay,32,A,19980914,31,102456,3.0,,Felix Mantilla,R,180.0,ESP,23.9,102610,2.0,,Albert Costa,R,180.0,ESP,23.2,6-3 7-5,3,F,88.0,3.0,1.0,57.0,33.0,25.0,17.0,10.0,2.0,3.0,2.0,1.0,63.0,41.0,25.0,12.0,11.0,6.0,10.0,22.0,1468.0,17.0,1743.0
2930,1998-773,Bucharest,Clay,32,A,19980914,31,101532,1.0,,Francisco Clavet,L,183.0,ESP,29.8,103324,,Q,Arnaud Di Pasquale,R,185.0,FRA,19.5,6-4 2-6 7-5,3,F,115.0,5.0,0.0,80.0,55.0,35.0,14.0,15.0,1.0,5.0,2.0,3.0,87.0,64.0,43.0,12.0,15.0,3.0,7.0,31.0,1228.0,138.0,346.0
2961,1998-73,Tashkent,Hard,32,A,19980914,31,102450,2.0,,Tim Henman,R,185.0,GBR,24.0,102338,1.0,,Yevgeny Kafelnikov,R,190.0,RUS,24.5,7-5 6-4,3,F,97.0,12.0,4.0,78.0,46.0,30.0,17.0,11.0,5.0,7.0,4.0,11.0,81.0,36.0,25.0,20.0,11.0,7.0,11.0,11.0,2208.0,10.0,2414.0
3041,1998-604,Grand Slam Cup,Hard,16,A,19980928,11,102701,2.0,,Marcelo Rios,L,175.0,CHI,22.7,101736,,,Andre Agassi,R,180.0,USA,28.4,6-4 2-6 7-6(1) 5-7 6-3,5,F,,,,,,,,,,,,,,,,,,,,3.0,3467.0,8.0,2545.0
3072,1998-573,Mallorca,Clay,32,A,19980928,31,102856,8.0,,Gustavo Kuerten,R,190.0,BRA,22.0,102845,1.0,,Carlos Moya,R,190.0,ESP,22.0,6-7(5) 6-2 6-3,3,F,124.0,7.0,5.0,121.0,64.0,47.0,30.0,15.0,11.0,12.0,6.0,2.0,87.0,45.0,36.0,19.0,14.0,2.0,6.0,25.0,1312.0,5.0,2858.0
3103,1998-327,Toulouse,Hard,32,A,19980928,31,101733,2.0,,Jan Siemerink,L,183.0,NED,28.4,102257,1.0,,Greg Rusedski,L,193.0,GBR,25.0,6-4 6-4,3,F,62.0,4.0,2.0,52.0,37.0,32.0,9.0,10.0,3.0,3.0,9.0,7.0,60.0,36.0,28.0,11.0,10.0,2.0,4.0,20.0,1652.0,14.0,2091.0
3134,1998-328,Basel,Hard,32,A,19981005,31,102450,6.0,,Tim Henman,R,185.0,GBR,24.0,101736,4.0,,Andre Agassi,R,180.0,USA,28.4,6-4 6-3 3-6 6-4,5,F,136.0,19.0,5.0,112.0,64.0,52.0,20.0,19.0,3.0,7.0,7.0,1.0,114.0,73.0,51.0,18.0,19.0,5.0,11.0,11.0,2285.0,8.0,2545.0
3165,1998-325,Palermo,Clay,32,A,19981005,31,103264,,,Mariano Puerta,L,180.0,ARG,20.0,102644,,,Franco Squillari,L,183.0,ARG,23.1,6-3 6-2,3,F,62.0,2.0,1.0,49.0,38.0,23.0,5.0,8.0,4.0,7.0,3.0,7.0,48.0,23.0,11.0,7.0,9.0,2.0,9.0,58.0,727.0,54.0,788.0
3196,1998-890,Shanghai,Carpet,32,A,19981005,31,102021,2.0,,Michael Chang,R,175.0,USA,26.6,101964,1.0,,Goran Ivanisevic,L,193.0,CRO,27.0,4-6 6-1 6-2,3,F,114.0,4.0,1.0,84.0,29.0,23.0,31.0,13.0,4.0,6.0,10.0,8.0,83.0,40.0,29.0,16.0,12.0,8.0,13.0,33.0,1131.0,12.0,2203.0
3227,1998-326,Singapore,Carpet,32,A,19981012,31,102701,1.0,,Marcelo Rios,L,175.0,CHI,22.7,101185,,,Mark Woodforde,L,188.0,AUS,33.0,6-4 6-2,3,F,70.0,4.0,2.0,52.0,27.0,18.0,18.0,9.0,1.0,2.0,2.0,2.0,56.0,29.0,19.0,10.0,9.0,2.0,6.0,3.0,3435.0,91.0,521.0
3258,1998-337,Vienna,Carpet,32,A,19981012,31,101948,1.0,,Pete Sampras,R,185.0,USA,27.1,102344,5.0,,Karol Kucera,R,188.0,SVK,24.6,6-3 7-6(3) 6-1,5,F,127.0,13.0,4.0,101.0,55.0,44.0,25.0,15.0,4.0,5.0,10.0,6.0,98.0,60.0,41.0,15.0,13.0,10.0,14.0,1.0,4015.0,7.0,2646.0
3289,1998-375,Lyon,Carpet,32,A,19981019,31,102374,4.0,,Alex Corretja,R,180.0,ESP,24.5,103163,,,Tommy Haas,R,188.0,GER,20.5,2-6 7-6(6) 6-1,3,F,131.0,10.0,2.0,95.0,64.0,42.0,16.0,13.0,9.0,12.0,9.0,7.0,89.0,49.0,36.0,20.0,14.0,9.0,13.0,7.0,2626.0,53.0,805.0
3320,1998-348,Ostrava,Carpet,32,A,19981019,31,101736,2.0,,Andre Agassi,R,180.0,USA,28.4,102466,,Q,Jan Kroslak,R,188.0,SVK,24.0,6-2 3-6 6-3,3,F,102.0,8.0,2.0,83.0,49.0,38.0,20.0,13.0,1.0,2.0,13.0,3.0,102.0,72.0,48.0,16.0,13.0,9.0,12.0,6.0,2681.0,153.0,307.0
3351,1998-807,Mexico City,Clay,32,A,19981026,31,102562,,,Jiri Novak,R,190.0,CZE,23.5,103598,,Q,Xavier Malisse,R,185.0,BEL,18.2,6-3 6-3,3,F,69.0,3.0,0.0,65.0,42.0,30.0,15.0,9.0,3.0,3.0,3.0,3.0,56.0,30.0,21.0,10.0,9.0,6.0,9.0,98.0,522.0,361.0,92.0
3398,1998-357,Stuttgart Masters,Hard,48,M,19981026,47,101990,11.0,,Richard Krajicek,R,196.0,NED,26.8,102338,10.0,,Yevgeny Kafelnikov,R,190.0,RUS,24.6,6-4 6-3 6-3,5,F,89.0,20.0,1.0,72.0,48.0,45.0,13.0,14.0,0.0,0.0,10.0,5.0,82.0,42.0,32.0,20.0,14.0,2.0,6.0,11.0,2124.0,8.0,2463.0
3429,1998-359,Bogota,Clay,32,A,19981102,31,103151,,,Mariano Zabaleta,R,183.0,ARG,20.6,102887,,,Ramon Delgado,R,185.0,PAR,21.9,6-4 6-4,3,F,64.0,9.0,6.0,57.0,28.0,24.0,19.0,10.0,0.0,0.0,8.0,3.0,55.0,33.0,27.0,9.0,10.0,1.0,3.0,86.0,551.0,68.0,690.0
3476,1998-352,Paris Masters,Carpet,48,M,19981102,47,102257,13.0,,Greg Rusedski,L,193.0,GBR,25.1,101948,1.0,,Pete Sampras,R,185.0,USA,27.2,6-4 7-6(4) 6-3,5,F,105.0,18.0,2.0,92.0,54.0,47.0,24.0,16.0,4.0,5.0,16.0,6.0,87.0,53.0,42.0,17.0,15.0,2.0,5.0,13.0,1929.0,1.0,3990.0
3507,1998-438,Moscow,Carpet,32,A,19981109,31,102338,2.0,,Yevgeny Kafelnikov,R,190.0,RUS,24.7,101964,3.0,,Goran Ivanisevic,L,193.0,CRO,27.1,7-6(2) 7-6(5),3,F,85.0,11.0,4.0,75.0,36.0,30.0,25.0,12.0,1.0,3.0,14.0,1.0,70.0,40.0,34.0,14.0,12.0,0.0,2.0,8.0,2557.0,13.0,1980.0
3538,1998-505,Santiago,Clay,32,A,19981109,31,101532,5.0,,Francisco Clavet,L,183.0,ESP,30.0,101962,,,Younes El Aynaoui,R,193.0,MAR,27.1,6-2 6-4,3,F,64.0,1.0,0.0,48.0,37.0,26.0,9.0,9.0,2.0,3.0,1.0,1.0,56.0,41.0,23.0,8.0,9.0,6.0,10.0,32.0,1072.0,67.0,706.0
3569,1998-429,Stockholm,Hard,32,A,19981109,31,101774,,,Todd Martin,R,198.0,USA,28.3,102563,7.0,,Thomas Johansson,R,180.0,SWE,23.6,6-3 6-4 6-4,5,F,111.0,14.0,6.0,84.0,51.0,40.0,13.0,15.0,3.0,7.0,11.0,6.0,86.0,44.0,30.0,13.0,14.0,2.0,9.0,21.0,1541.0,18.0,1619.0
3576,1998-605,Tour Finals,Hard,64,F,19981123,7,102374,,,Alex Corretja,R,180.0,ESP,24.6,102845,,,Carlos Moya,R,190.0,ESP,22.2,3-6 3-6 7-5 6-3 7-5,5,F,241.0,5.0,5.0,189.0,109.0,71.0,42.0,26.0,16.0,22.0,11.0,5.0,144.0,80.0,62.0,30.0,25.0,6.0,12.0,6.0,2798.0,5.0,2819.0
123,1999-338,Sydney,Hard,32,A,19990111,31,101774,8.0,,Todd Martin,R,198.0,USA,28.5,102374,1.0,,Alex Corretja,R,180.0,ESP,24.7,6-3 7-6(5),3,F,100.0,7.0,3.0,67.0,40.0,34.0,17.0,11.0,1.0,1.0,5.0,2.0,76.0,51.0,35.0,15.0,10.0,6.0,7.0,16.0,1774.0,3.0,3398.0
1323,1999-499,Delray Beach,Clay,32,A,19990503,31,103720,6.0,,Lleyton Hewitt,R,180.0,AUS,18.1,103598,,WC,Xavier Malisse,R,185.0,BEL,18.7,6-4 6-7(2) 6-1,3,F,134.0,4.0,2.0,87.0,56.0,41.0,19.0,15.0,4.0,6.0,7.0,1.0,96.0,48.0,33.0,21.0,14.0,3.0,8.0,55.0,801.0,131.0,355.0
1682,1999-473,Merano,Clay,32,A,19990607,31,102950,,,Fernando Vicente,R,180.0,ESP,22.2,102271,3.0,,Hicham Arazi,L,175.0,MAR,25.6,6-2 3-6 7-6(1),3,F,124.0,2.0,2.0,98.0,66.0,42.0,16.0,15.0,9.0,15.0,0.0,2.0,89.0,58.0,33.0,14.0,14.0,7.0,13.0,62.0,734.0,44.0,947.0
2707,2000-605,Masters Cup,Hard,8,F,20001127,8,102856,,,Gustavo Kuerten,R,190.0,BRA,24.2,101736,,,Andre Agassi,R,180.0,USA,30.5,6-4 6-4 6-4,5,F,126.0,19.0,1.0,98.0,56.0,46.0,22.0,15.0,7.0,7.0,7.0,1.0,88.0,60.0,41.0,15.0,15.0,6.0,9.0,2.0,3545.0,8.0,2265.0
2761,2000-620,Brighton,Hard,32,A,20001120,31,102450,1.0,,Tim Henman,R,185.0,GBR,26.2,103103,2.0,,Dominik Hrbaty,R,183.0,SVK,22.8,6-2 6-2,3,F,84.0,5.0,1.0,59.0,35.0,26.0,13.0,8.0,4.0,4.0,1.0,3.0,57.0,32.0,16.0,13.0,8.0,7.0,11.0,10.0,1955.0,19.0,1300.0
3041,2000-96,Sydney Olympics,Hard,64,A,20000918,63,102338,5.0,,Yevgeny Kafelnikov,R,190.0,RUS,26.5,103163,,,Tommy Haas,R,188.0,GER,22.4,7-6(4) 3-6 6-2 4-6 6-3,5,F,,,,,,,,,,,,,,,,,,,,8.0,2313.0,48.0,814.0
365,2001-321,Stuttgart,Clay,48,A,20010716,47,102856,1.0,,Gustavo Kuerten,R,190.0,BRA,24.8,103084,10.0,,Guillermo Canas,R,185.0,ARG,23.6,6-3 6-2 6-4,5,F,122.0,12.0,4.0,116.0,55.0,42.0,30.0,14.0,11.0,12.0,9.0,3.0,75.0,41.0,28.0,15.0,13.0,1.0,6.0,1.0,4075.0,39.0,914.0
1060,2001-408,Milan,Carpet,32,A,20010129,31,103819,7.0,,Roger Federer,R,185.0,SUI,19.4,102369,,,Julien Boutter,R,190.0,FRA,26.8,6-4 6-7(7) 6-4,3,F,140.0,7.0,4.0,103.0,57.0,38.0,28.0,16.0,2.0,7.0,7.0,11.0,113.0,66.0,42.0,22.0,16.0,7.0,14.0,27.0,1080.0,67.0,609.0
1912,2001-475,Sopot,Clay,32,A,20010723,31,103990,3.0,,Tommy Robredo,R,180.0,ESP,19.2,102287,2.0,,Albert Portas,R,188.0,ESP,27.6,1-6 7-5 7-6(2),3,F,113.0,2.0,1.0,89.0,56.0,36.0,16.0,16.0,2.0,8.0,2.0,2.0,89.0,49.0,33.0,25.0,15.0,1.0,5.0,51.0,740.0,25.0,1140.0
2098,2001-505,Vina del Mar,Clay,32,A,20010212,31,103909,,,Guillermo Coria,R,175.0,ARG,19.0,103292,3.0,,Gaston Gaudio,R,175.0,ARG,22.1,4-6 6-2 7-5,3,F,154.0,2.0,3.0,95.0,49.0,27.0,19.0,15.0,6.0,14.0,0.0,2.0,100.0,62.0,30.0,14.0,15.0,10.0,20.0,69.0,585.0,36.0,945.0
2129,2001-506,Buenos Aires,Clay,32,A,20010219,31,102856,1.0,,Gustavo Kuerten,R,190.0,BRA,24.4,104076,,Q,Jose Acasuso,R,190.0,ARG,18.3,6-1 6-3,3,F,58.0,5.0,1.0,42.0,25.0,22.0,11.0,8.0,2.0,2.0,4.0,2.0,45.0,19.0,15.0,7.0,8.0,5.0,9.0,2.0,4225.0,172.0,222.0
2287,2001-533,Costa Do Sauipe,Hard,32,A,20010910,31,102788,,,Jan Vacek,R,198.0,CZE,25.3,101897,5.0,,Fernando Meligeni,L,180.0,BRA,30.4,2-6 7-6(2) 6-3,3,F,145.0,2.0,3.0,91.0,53.0,33.0,21.0,14.0,3.0,7.0,4.0,5.0,93.0,49.0,34.0,22.0,15.0,3.0,7.0,106.0,390.0,80.0,522.0
2798,2001-717,Houston,Clay,32,A,20010430,31,104053,,WC,Andy Roddick,R,188.0,USA,18.6,102703,8.0,,Hyung Taik Lee,R,180.0,KOR,25.3,7-5 6-3,3,F,67.0,7.0,2.0,49.0,30.0,26.0,15.0,10.0,0.0,0.0,5.0,2.0,67.0,36.0,23.0,17.0,11.0,4.0,7.0,69.0,633.0,81.0,527.0
2922,2001-807,Acapulco,Clay,32,A,20010226,31,102856,1.0,,Gustavo Kuerten,R,190.0,BRA,24.4,102869,,WC,Galo Blanco,R,173.0,ESP,24.3,6-4 6-2,3,F,82.0,11.0,5.0,71.0,44.0,34.0,12.0,9.0,5.0,5.0,8.0,0.0,55.0,38.0,24.0,9.0,9.0,1.0,4.0,1.0,4365.0,116.0,337.0
46,2002-1536,Madrid Masters,Hard,48,M,20021014,47,101736,2.0,,Andre Agassi,R,180.0,USA,32.4,102562,11.0,,Jiri Novak,R,190.0,CZE,27.5,W/O,3,F,,,,,,,,,,,,,,,,,,,,2.0,2875.0,9.0,2080.0
318,2002-317,Amersfoort,Clay,32,A,20020715,31,103428,2.0,,Juan Ignacio Chela,R,190.0,ARG,22.8,102610,1.0,,Albert Costa,R,180.0,ESP,27.0,6-1 7-6(4),3,F,94.0,1.0,2.0,59.0,35.0,25.0,18.0,10.0,1.0,2.0,2.0,0.0,67.0,49.0,27.0,11.0,9.0,3.0,6.0,28.0,1202.0,7.0,2290.0
77,2003-1720,Bangkok,Hard,32,A,20030922,31,103758,8.0,,Taylor Dent,R,188.0,USA,22.4,103507,1.0,,Juan Carlos Ferrero,R,183.0,ESP,23.6,6-3 7-6(5),3,F,99.0,8.0,6.0,82.0,40.0,30.0,25.0,11.0,7.0,8.0,2.0,1.0,73.0,43.0,34.0,13.0,10.0,3.0,5.0,54.0,663.0,1.0,4250.0
676,2003-341,Metz,Hard,32,A,20030929,31,103096,4.0,,Arnaud Clement,R,173.0,FRA,25.7,103602,3.0,,Fernando Gonzalez,R,183.0,CHI,23.1,6-3 1-6 6-3,3,F,103.0,12.0,1.0,82.0,52.0,34.0,22.0,13.0,2.0,4.0,7.0,3.0,74.0,44.0,34.0,13.0,12.0,4.0,6.0,39.0,920.0,26.0,1110.0
2532,2003-573,Valencia,Clay,32,A,20030428,31,103507,1.0,,Juan Carlos Ferrero,R,183.0,ESP,23.2,103294,,,Christophe Rochus,R,170.0,BEL,24.3,6-2 6-4,3,F,66.0,2.0,2.0,51.0,33.0,26.0,12.0,9.0,0.0,0.0,1.0,1.0,63.0,38.0,23.0,13.0,9.0,4.0,7.0,3.0,3210.0,134.0,288.0
2769,2004-747,Beijing,Hard,32,A,20040913,31,103498,5.0,,Marat Safin,R,193.0,RUS,24.6,104022,,,Mikhail Youzhny,R,183.0,RUS,22.2,7-6(4) 7-5,3,F,97.0,8.0,1.0,80.0,53.0,42.0,14.0,12.0,2.0,3.0,3.0,3.0,76.0,47.0,32.0,17.0,12.0,1.0,3.0,13.0,1590.0,35.0,910.0
2956,2004-96,Athens Olympics,Hard,64,A,20040816,63,103454,10.0,,Nicolas Massu,R,183.0,CHI,24.8,103888,,,Mardy Fish,R,188.0,USA,22.6,6-3 3-6 2-6 6-3 6-4,5,F,,,,,,,,,,,,,,,,,,,,14.0,1520.0,35.0,865.0
2897,2005-890,Ho Chi Minh City,Carpet,32,A,20050926,31,102035,,,Jonas Bjorkman,R,183.0,SWE,33.5,103285,3.0,,Radek Stepanek,R,185.0,CZE,26.8,6-3 7-6(4),3,F,84.0,9.0,4.0,63.0,39.0,34.0,16.0,11.0,0.0,0.0,7.0,0.0,66.0,47.0,36.0,10.0,10.0,1.0,2.0,93.0,438.0,16.0,1420.0
108,2006-2276,Zagreb,Carpet,32,A,20060130,31,103344,1.0,,Ivan Ljubicic,R,193.0,CRO,26.8,102905,,Q,Stefan Koubek,L,175.0,AUT,29.0,6-3 6-4,3,F,66.0,10.0,3.0,51.0,35.0,34.0,8.0,10.0,2.0,2.0,1.0,0.0,47.0,29.0,18.0,14.0,9.0,2.0,4.0,5.0,2395.0,179.0,215.0
170,2006-306,Poertschach,Clay,32,A,20060522,31,103786,1.0,,Nikolay Davydenko,R,178.0,RUS,24.9,102318,,,Andrei Pavel,R,183.0,ROU,32.3,6-0 6-3,3,F,63.0,5.0,1.0,36.0,19.0,15.0,13.0,7.0,0.0,0.0,1.0,2.0,61.0,39.0,19.0,9.0,8.0,1.0,6.0,6.0,2295.0,111.0,383.0
785,2006-3465,Mumbai,Hard,32,A,20060925,31,104098,4.0,,Dmitry Tursunov,R,185.0,RUS,23.7,104607,3.0,,Tomas Berdych,R,196.0,CZE,21.0,6-3 4-6 7-6(5),3,F,165.0,9.0,11.0,102.0,53.0,38.0,22.0,16.0,4.0,9.0,7.0,2.0,96.0,56.0,37.0,20.0,15.0,8.0,13.0,22.0,1165.0,13.0,1735.0
1734,2006-433,Las Vegas,Hard,32,A,20060227,31,103484,5.0,,James Blake,R,185.0,USA,26.1,103720,1.0,,Lleyton Hewitt,R,180.0,AUS,25.0,7-5 2-6 6-3,3,F,119.0,5.0,4.0,96.0,47.0,32.0,23.0,14.0,5.0,10.0,3.0,2.0,95.0,56.0,32.0,19.0,15.0,6.0,12.0,21.0,1405.0,10.0,1785.0
1712,2008-475,Warsaw,Clay,32,A,20080609,31,103786,1.0,,Nikolay Davydenko,R,178.0,RUS,27.0,103990,2.0,,Tommy Robredo,R,180.0,ESP,26.1,6-3 6-3,3,F,95.0,3.0,2.0,68.0,44.0,29.0,13.0,9.0,6.0,7.0,2.0,1.0,60.0,42.0,25.0,7.0,9.0,3.0,7.0,4.0,3050.0,19.0,1255.0
2782,2008-96,Beijing Olympics,Hard,64,A,20080811,63,104745,2.0,,Rafael Nadal,L,185.0,ESP,22.1,103602,12.0,,Fernando Gonzalez,R,183.0,CHI,28.0,6-3 7-6(2) 6-3,5,F,143.0,4.0,3.0,87.0,63.0,54.0,15.0,16.0,4.0,4.0,9.0,1.0,107.0,71.0,50.0,14.0,14.0,8.0,10.0,2.0,6305.0,15.0,1340.0
574,2009-339,Brisbane,Hard,32,A,20090104,31,103285,8.0,,Radek Stepanek,R,185.0,CZE,30.1,104269,3.0,,Fernando Verdasco,L,188.0,ESP,25.1,3-6 6-3 6-4,3,F,138.0,3.0,1.0,81.0,41.0,31.0,25.0,14.0,6.0,8.0,1.0,1.0,87.0,75.0,48.0,5.0,14.0,2.0,5.0,26.0,2260.0,15.0,2830.0
1064,2009-414,Hamburg,Clay,48,A,20090719,47,103786,2.0,,Nikolay Davydenko,R,178.0,RUS,28.1,103908,13.0,,Paul Henri Mathieu,R,185.0,FRA,27.5,6-4 6-2,3,F,89.0,3.0,1.0,50.0,39.0,24.0,8.0,9.0,4.0,6.0,1.0,2.0,62.0,31.0,17.0,13.0,9.0,8.0,13.0,12.0,2935.0,39.0,1175.0
1761,2009-5012,Johannesburg,Hard,32,A,20090202,31,104542,1.0,,Jo-Wilfried Tsonga,R,188.0,FRA,23.7,104871,5.0,,Jeremy Chardy,R,188.0,FRA,21.9,6-4 7-6(5),3,F,109.0,16.0,7.0,84.0,37.0,31.0,27.0,11.0,8.0,8.0,11.0,2.0,77.0,44.0,36.0,16.0,11.0,4.0,5.0,14.0,2955.0,61.0,1208.0
